title,location,rating,reviews,guests,bedrooms,beds,bathrooms,price,days booked
Newly remodeled 1BR! Only 5 MIN walk to BLUE LINE!,rental unit in Wicker Park,5.0,26 ,4,1,2,1,$111,18
Relaxed Bucktown/Wicker Park 1B Apt,rental unit in Bucktown,4.85,350 ,3,1,1,1,$57,42
Vintage Gem in West Town,condominium (condo) in West Town/Noble Square,4.92,127 ,4,1,1,1,$57,103
The Secret Stache,rental unit in Logan Square,4.57,220 ,2,S,1,1,$45,63
Great Location Studio III,rental unit in Near North Side,4.78,359 ,2,S,1,1,$59,38
Fully Furnished Apartment Wicker Park Free Parking,rental unit in West Town/Noble Square,4.98,303 ,2,1,1,1,$107,84
"Logan Sq / Wicker Pk, steps from train",rental unit in Logan Square,4.79,145 ,6,2,2,1,$72,87
Modern and new furnished studio in Lakeview 7,rental unit in Lincoln Park,4.80,146 ,2,S,1,1,$68,11
East Lakeview 2 Br Penthouse w/ private balcony,rental unit in Lakeview,4.82,469 ,6,2,2,1,$111,25
R1 Lincoln Park/ Lakeshore / Lakeview / Zoo Studio,rental unit in Lincoln Park,4.57,232 ,2,1,1,1,$68,107
Sophisticated Flat in Historic Building,rental unit in Old Town,4.97,209 ,2,1,1,1,$140,30
"Basement Studio w/Free St. Parking, Humboldt Park",rental unit in Humboldt Park,4.88,637 ,2,S,2,1,$65,96
Perfect location in Lincoln Park—free parking spot,rental unit in Lincoln Park,4.81,340 ,3,1,2,1,$101,13
New Spot in West Town,rental unit in West Town/Noble Square,4.72,18 ,3,1,2,1,$107,32
Modern Apartment w/ a Classic Chicago Movie Theme!,condominium (condo) in West Town/Noble Square,4.91,85 ,8,3,4,1,$84,35
Sleek and cool garden loft in Boystown Lakeview,rental unit in Lakeview,4.85,285 ,4,1,4,1,$78,33
Home Office/Quiet Location/Walkable/Fast WiFi,condominium (condo) in West Town/Noble Square,,,3,1,0,1,$102,3
Urban Lincoln Park hideaway w/free street parking!,rental unit in Lincoln Park,4.80,127 ,6,1,2,1,$73,15
